HeartRate,SkinConductance,EEG,Temperature,PupilDiameter,SmileIntensity,FrownIntensity,CortisolLevel,ActivityLevel,AmbientNoiseLevel,LightingLevel,EmotionalState,CognitiveState,EngagementLevel
61,8.93720406532195,11.79494627242648,36.501723071888435,3.3301810231528797,0.6892375253636858,0.18902350577746724,0.6030351262103114,136,59,394,engaged,distracted,3
60,12.635397350913864,19.151412362549866,36.61891032363825,3.4289951106401646,0.561056310682997,0.09136708606257815,0.5666712318220477,155,39,479,engaged,distracted,1
81,3.6600283244425045,6.226097891936879,36.17689799273445,2.8192863688528162,0.41795108355786503,0.22735495762426672,1.4224747367830513,55,30,832,partially engaged,focused,3
119,0.563070222347092,4.54296793958188,37.20529264938447,2.192960715226595,0.1401857939298864,0.5029649863326384,1.6690447608151953,39,40,602,disengaged,focused,3
118,0.47737776286259526,0.9962093929230909,37.248117586934974,2.4501385135638456,0.06447101868123527,0.6956043846017395,1.8540758438703007,10,42,908,disengaged,focused,3
77,9.024551782789697,19.67015988798973,36.805665376651426,3.7285652116332706,0.6724914228479392,0.13398983620061602,0.6288988310820629,151,47,449,engaged,focused,3
83,4.04982983126717,6.347192453740458,36.29936167052836,2.721966824851556,0.41939205736910556,0.2581759464488439,1.3577254818245619,58,42,504,partially engaged,focused,3
112,1.322308539438186,3.477925871517721,37.352049842198724,2.3413492523879182,0.07856154339050776,0.6184561023211035,1.6274088118221908,9,55,388,disengaged,focused,3
92,2.205338764787159,7.237501362618273,36.082010872314385,2.673052014442552,0.4639959616164874,0.2768094765515049,1.3049354591281779,85,34,598,partially engaged,focused,2
89,4.761323109450856,8.218163987750177,36.135476865790054,2.5616268540690297,0.32994511282923805,0.3565325853792216,1.294055026656479,77,59,663,partially engaged,distracted,3
113,1.7115160088010604,4.373812618907305,37.29063101920965,2.2622720328325183,0.1632896084153143,0.7248005539383127,1.7001625916638943,6,59,381,disengaged,focused,3
65,13.156217710403867,11.792098495610258,36.54110079474097,3.3283577851330195,0.7121883835069391,0.10853185642731354,0.6862118480875035,150,35,648,engaged,focused,3
79,8.822559146564046,16.47578490806859,36.9831381259487,3.510375406628862,0.9934384234708602,0.060449878982639496,0.5154340662712305,138,55,906,engaged,focused,3
76,14.536033677507945,16.504833499946876,36.83655665115498,3.178928511560836,0.7463048394264133,0.07341654941744934,0.735478426195515,119,50,985,engaged,focused,1
92,4.716624983452589,7.724079437259853,36.46224717926515,2.7861772560138123,0.31392726319501213,0.3105738787051543,1.2878694662463404,85,47,474,partially engaged,focused,2
62,11.228761490206036,12.596140986739204,36.790874208974095,3.240952042636943,0.7232226361019534,0.024541139867461405,0.518650273930739,142,33,370,engaged,focused,3
111,1.9239652400006795,2.611146473851642,37.27658835306838,2.4708005193936873,0.18422942751836663,0.7652335861701254,1.5489973710148566,40,53,545,disengaged,distracted,3
89,3.228028891486834,8.307883702870292,36.316854871711556,2.6913205775327858,0.42265727876662595,0.36274965911350954,1.0131423861688036,88,39,548,partially engaged,focused,3
79,10.16676392605342,19.91874544682311,36.52731076824452,3.4910448217723773,0.5457082745572588,0.03195711242271409,0.691519175209131,156,39,432,engaged,distracted,1
74,8.361096462206039,16.397477120376795,36.766876660296894,3.8155869805157687,0.813722804908471,5.0490898112420804e-05,0.8815871928048694,195,39,954,engaged,distracted,3
105,0.31086660785147835,3.6899319113758082,37.4599673658907,2.0209690071512836,0.07911642238321935,0.799044492821285,1.8663359850003343,32,43,469,disengaged,focused,2
85,2.6641056784758606,5.77405620298413,36.151184516887966,2.8621920341645257,0.3329893321516376,0.3048468075766577,1.134604959557199,97,36,437,partially engaged,distracted,3
105,1.210481515144364,0.48355250986921283,37.233156107972995,2.218103648241185,0.17050460136435275,0.687619157950044,1.8198510310795513,35,50,454,disengaged,focused,2
108,1.0440029003041085,3.0396002923243994,37.19122185252708,2.493728308480039,0.14100425189937177,0.5873020383137494,1.5288831494860342,5,51,891,disengaged,distracted,2
89,3.6550386912579187,8.008822210552346,36.49932394246711,2.6005920710833257,0.40464360399345844,0.2692370615427278,1.2629464842895,93,33,654,partially engaged,distracted,3
85,3.0603096634713034,6.069176278335653,36.285904997303845,2.8486937807846076,0.43473972819811435,0.25096356359295235,1.3898241028739835,52,41,542,partially engaged,distracted,3
87,3.793232267512649,5.71000909402199,36.32404355605423,2.9315339981267456,0.3586281020516141,0.2900413232230239,1.1141552128125891,79,44,565,partially engaged,focused,3
82,4.861308188638481,7.079451066060976,36.39443505490904,2.571321718678255,0.46247100882007974,0.3720294621924402,1.3577385643438395,77,50,961,partially engaged,focused,3
89,3.860328596048472,7.9809648534874365,36.43052046726315,2.607845683986443,0.3351287665077733,0.2506757189715903,1.4457750247064354,80,44,376,partially engaged,focused,3
107,1.8820396453944683,4.356786706161039,37.255721416958814,2.2826131905854155,0.0011866993492112956,0.5646503467501297,1.5123870634671919,42,32,606,disengaged,distracted,2
113,1.4974472705933253,2.6135300158605097,37.30917668948928,2.197285849231619,0.15837485301250254,0.6404812790793478,1.8401064522094412,42,46,893,disengaged,distracted,3
73,12.852158751252233,15.127134815929951,36.90653297462784,3.497257237271609,0.9783171614319683,0.15053434972295887,0.585570824873032,170,30,623,engaged,distracted,1
90,4.953382873921596,8.594095218367636,36.0421953732851,2.6974802138051746,0.4034550805346533,0.3678027206319604,1.3646727671648864,95,46,795,partially engaged,focused,2
111,1.5641290431448622,0.8766083918929957,37.39131039453851,2.3319050526251415,0.1366416619095173,0.644466019138178,1.8335007663404324,0,58,569,disengaged,focused,3
103,0.950794743727766,2.5712098396118623,37.10414067931254,2.304285168931825,0.1445999919187498,0.6121520257896356,1.7927258484287194,15,37,729,disengaged,distracted,2
114,0.6567147046544108,2.4663221705255323,37.4580755134072,2.477827712620767,0.18541382321023703,0.5787344200891521,1.6162345201083816,32,45,374,disengaged,focused,3
63,8.74212795739058,16.206369521207595,36.88126283854699,3.735558198267917,0.907211783539576,0.006436880643080434,0.5238668948393781,197,41,961,engaged,distracted,3
68,10.781406737621204,10.52586860214377,36.627656900585635,3.638354304885478,0.9295909450553381,0.18339667943628052,0.7502097479175409,112,39,698,engaged,distracted,3
114,1.0752492014947093,2.5842926276865867,37.45254201888048,2.39496636052794,0.18181450527225892,0.5654741164343462,1.7621877433276785,47,39,312,disengaged,focused,3
68,13.769210069103044,18.064166740187908,36.62415924151242,3.372752720067173,0.8724631125977418,0.09787062508151706,0.5769132883617762,133,45,920,engaged,distracted,1
78,10.058672985286883,10.622505899414543,36.96106019489882,3.177116568678373,0.764172346718277,0.16071352028006203,0.6077266384778217,127,42,989,engaged,distracted,3
69,12.596949977999117,15.643411678731507,36.927987930197574,3.8945580028773827,0.824366741222699,0.14507824923178889,0.7746100499434319,182,39,739,engaged,focused,1
79,14.636832722605021,14.00310899231113,36.68190105421617,3.703585058998771,0.5893656182976135,0.07266469671475029,0.6456537231372439,169,58,948,engaged,focused,3
102,1.7150931798736897,2.5708527335380094,37.34174830854904,2.0376240088389665,0.0898011158494086,0.5284679502307555,1.7997308378933283,38,39,555,disengaged,focused,2
66,5.767667371449807,13.102378614407344,36.75333858855355,3.5846601031717613,0.5333327756379116,0.13029183714321405,0.7444378803767473,108,42,743,engaged,distracted,3
